Iso3,IndicatorId,IndicatorName,IndicatorScore,SurveyYear,Indicator Type,INFORMYear,Data reference year
ECU,HA.NAT.DR,Droughts probability and historical impact,3.4,0,INFORM Index,2022,2021
GTM,HA.NAT.DR,Droughts probability and historical impact,3.7,0,INFORM Index,2022,2021
HND,HA.NAT.DR,Droughts probability and historical impact,4.8,0,INFORM Index,2022,2021
HTI,HA.NAT.DR,Droughts probability and historical impact,3.7,0,INFORM Index,2022,2021
MEX,HA.NAT.DR,Droughts probability and historical impact,3.3,0,INFORM Index,2022,2021
NIC,HA.NAT.DR,Droughts probability and historical impact,4.0,0,INFORM Index,2022,2021
PAN,HA.NAT.DR,Droughts probability and historical impact,1.2,0,INFORM Index,2022,2021
PER,HA.NAT.DR,Droughts probability and historical impact,4.4,0,INFORM Index,2022,2021
PRY,HA.NAT.DR,Droughts probability and historical impact,3.9,0,INFORM Index,2022,2021
SLV,HA.NAT.DR,Droughts probability and historical impact,3.6,0,INFORM Index,2022,2021
URY,HA.NAT.DR,Droughts probability and historical impact,2.6,0,INFORM Index,2022,2021
VEN,HA.NAT.DR,Droughts probability and historical impact,1.9,0,INFORM Index,2022,2021
ARG,HA.VECT,Physical exposure to vectorborne,5.4,0,INFORM Index,2022,2021
BOL,HA.VECT,Physical exposure to vectorborne,6.6,0,INFORM Index,2022,2021
BRA,HA.VECT,Physical exposure to vectorborne,8.8,0,INFORM Index,2022,2021
CHL,HA.VECT,Physical exposure to vectorborne,1.6,0,INFORM Index,2022,2021
COL,HA.VECT,Physical exposure to vectorborne,7.9,0,INFORM Index,2022,2021
CRI,HA.VECT,Physical exposure to vectorborne,7.2,0,INFORM Index,2022,2021
CUB,HA.VECT,Physical exposure to vectorborne,8.2,0,INFORM Index,2022,2021
DOM,HA.VECT,Physical exposure to vectorborne,8.1,0,INFORM Index,2022,2021
ECU,HA.VECT,Physical exposure to vectorborne,7.2,0,INFORM Index,2022,2021
GTM,HA.VECT,Physical exposure to vectorborne,7.3,0,INFORM Index,2022,2021
HND,HA.VECT,Physical exposure to vectorborne,8.5,0,INFORM Index,2022,2021
HTI,HA.VECT,Physical exposure to vectorborne,8.9,0,INFORM Index,2022,2021
MEX,HA.VECT,Physical exposure to vectorborne,7.3,0,INFORM Index,2022,2021
NIC,HA.VECT,Physical exposure to vectorborne,8.6,0,INFORM Index,2022,2021
PAN,HA.VECT,Physical exposure to vectorborne,8.1,0,INFORM Index,2022,2021
PER,HA.VECT,Physical exposure to vectorborne,7.1,0,INFORM Index,2022,2021
PRY,HA.VECT,Physical exposure to vectorborne,7.7,0,INFORM Index,2022,2021
SLV,HA.VECT,Physical exposure to vectorborne,7.7,0,INFORM Index,2022,2021
URY,HA.VECT,Physical exposure to vectorborne,4.2,0,INFORM Index,2022,2021
VEN,HA.VECT,Physical exposure to vectorborne,8.6,0,INFORM Index,2022,2021
ARG,HA.ZOON,Physical exposure to Zoonoses,6.4,0,INFORM Index,2022,2021
BOL,HA.ZOON,Physical exposure to Zoonoses,10.0,0,INFORM Index,2022,2021
BRA,HA.ZOON,Physical exposure to Zoonoses,8.1,0,INFORM Index,2022,2021
CHL,HA.ZOON,Physical exposure to Zoonoses,6.5,0,INFORM Index,2022,2021
COL,HA.ZOON,Physical exposure to Zoonoses,6.8,0,INFORM Index,2022,2021
CRI,HA.ZOON,Physical exposure to Zoonoses,6.9,0,INFORM Index,2022,2021
CUB,HA.ZOON,Physical exposure to Zoonoses,5.7,0,INFORM Index,2022,2021
DOM,HA.ZOON,Physical exposure to Zoonoses,10.0,0,INFORM Index,2022,2021
