Country,iso3,Year,SPAR_Overall,C.1.1.1,C.1,C.2.1.1,C.2.1.2,C.2,C.3.1.1,C.3.2.1,C.3,C.4.1.1,C.4.2.1,C.4,C.5.1.1,C.5.2.1,C.5,C.6.1.1,C.6,C.7.1.1,C.7,C.8.1.1,C.8.2.1,C.8,C.9.1.1,C.9.2.1,C.9.3.1,C.9,C.10.1.1,C.10,C.11.1.1,C.11,C.12.1.1,C.12,C.13.1.1,C.13,C.1.1,C.1.2,C.1.3,C.2.1,C.2.2,C.3.1,C.4.1,C.5.1,C.5.2,C.5.3,C.6.1,C.6.2,C.7.1,C.8.1,C.8.2,C.8.3,C.9.1,C.9.2,C.9.3,C.10.1,C.11.1,C.11.2,C.12.1,C.13.1,C.2.3,C.3.2,C.4.2,C.4.3,C.4.4,C.4.5,C.7.2,C.7.3,C.10.2,C.10.3,C.11.3,C.14.1,C.14,C.15.1,C.15
DZA,DZA,2015,72.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,85.0,89.0,100.0,94.0,100.0,60.0,80.0,29.0,29.0,60.0,60.0,92.0,60.0,76.0,73.0,75.0,83.0,77.0,89.0,89.0,60.0,60.0,15.0,15.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,AGO,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,BEN,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,BWA,2015,56.0,100.0,100.0,100.0,40.0,70.0,100.0,0.0,50.0,78.0,88.0,83.0,0.0,0.0,,29.0,29.0,100.0,100.0,100.0,100.0,100.0,36.0,0.0,0.0,12.0,22.0,22.0,67.0,67.0,8.0,8.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,BFA,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,BDI,2015,56.0,100.0,100.0,67.0,80.0,73.0,100.0,100.0,100.0,100.0,75.0,88.0,100.0,60.0,80.0,86.0,86.0,20.0,20.0,100.0,40.0,70.0,45.0,0.0,0.0,15.0,100.0,100.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,CPV,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,CMR,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,CAF,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,TCD,2015,39.0,0.0,,33.0,60.0,47.0,100.0,50.0,75.0,56.0,62.0,59.0,33.0,20.0,27.0,57.0,57.0,20.0,20.0,83.0,20.0,52.0,45.0,0.0,0.0,15.0,67.0,67.0,47.0,47.0,15.0,15.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
