iso3,country,GHS_total,GHS_Prevention,GHS_Detection,GHS_Response,GHS_HealthSystem,GHS_RSICompliance,GHS_RiskEnv,SPAR_total,SPAR_C1,SPAR_C2,SPAR_C3,SPAR_C4,SPAR_C5,SPAR_C6,SPAR_C7,SPAR_C8,SPAR_C9,SPAR_C10,SPAR_C11,SPAR_C12,SPAR_C13,INFORM_EpiRisk,INFORM_Hazard,INFORM_Vulnerability,INFORM_LackCoping,INFORM_SocioEcon,INFORM_Governance,INFORM_HealthAccess,INFORM_Risk_total,INFORM_Hazard_gen,INFORM_Vulnerability_gen,INFORM_LackCoping_gen,Pscore_2020,Pscore_2021,GovResponse_2020,Stringency_2020,OMS_excess_2020,OMS_excess_low,OMS_excess_high,GINI,GINI_quality,WGI_Corruption,WGI_GovEff,WGI_PolitStab,WGI_RuleOfLaw,DataTier
ARG,Argentina,56.1,41.5,54.6,52.0,64.4,64.8,59.3,64.0,73.5,80.0,70.0,80.0,67.0,80.0,60.0,40.0,56.5,40.0,70.0,60.0,60.0,3.6,3.4,3.9,3.5,1.8,5.2,2.0,3.0,2.8,2.6,3.8,10.6,27.8,62.13,71.37,35840.95782,31428.46211,40196.93004,0.42,imputed_SEDLAC,-0.09,0.272,0.139,-0.238,1
BOL,Bolivia,32.0,40.8,21.3,31.0,17.2,30.2,51.4,58.0,87.0,50.0,80.0,20.0,73.0,60.0,80.0,80.0,40.0,40.0,40.0,80.0,20.0,4.9,4.5,5.1,5.2,4.6,6.3,4.7,4.0,3.8,3.1,5.3,53.8,67.2,51.26,67.2,33888.56058,33225.80629,34541.16927,0.416,exact,-0.82,-0.378,-0.389,-1.262,1
BRA,Brazil,51.0,49.6,51.5,64.8,50.3,37.0,52.8,89.5,96.5,100.0,90.0,90.0,100.0,100.0,100.0,90.0,57.0,80.0,60.0,100.0,100.0,4.5,6.5,4.8,2.9,3.4,6.2,3.5,4.8,6.4,3.5,4.9,18.8,41.6,50.88,57.51,189945.7761,181338.0563,199352.7933,0.535,exact,-0.417,-0.09,-0.656,-0.356,1
CHL,Chile,53.0,46.6,43.5,60.8,48.2,52.6,66.4,75.0,76.5,80.0,90.0,100.0,80.0,80.0,60.0,70.0,57.0,40.0,75.0,90.0,80.0,3.3,3.8,3.6,2.7,1.7,3.1,3.0,3.0,3.3,3.3,2.5,20.2,29.1,59.25,65.17,14771.02118,13784.341,15747.4697,0.453,good,1.127,1.015,0.476,0.947,1
COL,Colombia,50.0,47.2,43.3,55.7,43.7,61.5,48.7,70.5,76.5,70.0,80.0,80.0,76.5,65.0,60.0,70.0,60.0,70.0,90.0,60.0,60.0,5.1,6.2,5.9,3.6,3.8,5.8,3.6,5.4,7.4,6.1,3.4,34.0,58.1,56.63,63.19,53886.16361,52416.11237,55308.77344,0.525,exact,-0.334,-0.112,-0.784,-0.413,1
CRI,Costa Rica,40.5,31.9,33.1,39.6,32.8,38.0,67.8,73.5,93.0,75.0,70.0,80.0,93.0,70.0,80.0,47.0,73.0,80.0,60.0,90.0,40.0,3.6,4.2,3.9,2.8,2.4,4.3,3.5,2.8,3.3,2.9,2.3,14.0,35.2,45.13,54.39,738.0505728,416.9374961,1040.639568,0.482,exact,0.653,0.33,0.667,0.547,1
CUB,Cuba,32.3,30.7,6.8,35.4,17.1,46.7,57.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.2,4.7,4.5,1.6,2.7,5.4,0.6,3.3,3.5,2.7,3.8,7.9,60.8,51.37,60.61,576.3400401,-801.353378,1930.399608,0.38,imputed_ECLAC,-0.038,-0.128,0.6,-0.822,1
DOM,Dominican Republic,35.8,21.0,27.9,46.5,16.8,45.7,56.8,54.0,43.5,50.0,40.0,50.0,53.0,70.0,40.0,56.5,36.5,90.0,50.0,40.0,80.0,4.9,5.7,4.3,4.9,3.6,6.5,4.6,4.4,4.5,3.8,5.0,9.5,17.3,51.31,63.24,2333.078087,1750.855505,2907.429595,0.419,exact,-0.816,-0.324,0.049,-0.529,1
ECU,Ecuador,48.2,49.4,45.3,44.2,49.6,45.7,55.2,71.5,87.0,85.0,80.0,70.0,76.5,80.0,80.0,76.5,53.5,60.0,40.0,80.0,60.0,4.2,4.7,4.8,3.4,3.4,5.9,3.9,4.6,4.4,4.5,5.0,68.3,50.4,53.16,58.89,46706.66456,45955.58726,47453.18417,0.457,exact,-0.641,-0.184,-0.135,-0.766,1
SLV,El Salvador,42.9,20.1,50.4,47.8,38.4,54.0,46.6,87.5,100.0,100.0,100.0,60.0,100.0,100.0,100.0,80.0,80.0,70.0,100.0,70.0,80.0,4.8,5.6,5.5,3.6,4.4,6.3,4.2,4.1,4.6,3.8,3.9,,,53.96,63.59,8191.908269,5479.909117,11052.95528,0.388,exact,-0.543,-0.354,-0.323,-0.814,2
GTM,Guatemala,31.0,16.2,30.8,33.8,16.9,39.9,48.4,60.0,70.0,35.0,50.0,40.0,80.0,75.0,70.0,90.0,40.0,50.0,60.0,50.0,70.0,5.4,5.8,6.0,4.6,5.4,6.9,5.4,5.6,5.5,6.3,5.0,17.7,42.7,51.89,64.05,12580.12909,11814.62296,13333.6885,0.483,acceptable,-0.953,-0.747,-0.693,-0.979,1
HTI,Haiti,30.1,22.2,38.3,30.7,11.9,44.8,32.4,39.5,27.0,60.0,60.0,20.0,60.0,90.0,40.0,50.0,27.0,20.0,15.0,40.0,0.0,6.4,6.8,5.7,6.7,7.5,8.5,8.2,6.3,5.4,6.4,7.2,,,36.31,45.09,4272.677382,-14311.61082,23994.69287,0.605,acceptable_2012,-1.441,-1.844,-0.851,-1.186,3
HND,Honduras,26.3,14.7,12.5,34.3,16.5,39.4,40.2,47.0,23.5,80.0,80.0,50.0,73.5,80.0,40.0,40.0,6.5,50.0,50.0,20.0,20.0,5.6,5.6,5.4,5.9,5.7,6.8,4.8,5.7,5.7,5.7,5.6,,,59.42,71.77,6011.43363,1199.632751,10883.3335,0.482,exact,-0.992,-0.486,-0.866,-1.087,2
MEX,Mexico,55.1,41.7,50.1,61.5,52.5,68.1,56.8,84.5,90.0,100.0,70.0,80.0,83.5,100.0,90.0,87.0,87.0,70.0,80.0,80.0,80.0,4.7,6.8,5.2,3.0,3.3,6.2,3.1,4.8,7.6,4.1,3.6,56.8,57.0,44.16,57.39,297154.0313,289565.5735,305289.3752,0.46,good,-0.927,-0.009,-0.957,-0.804,1
NIC,Nicaragua,40.0,36.5,30.8,43.8,47.5,42.0,39.4,78.0,100.0,35.0,70.0,80.0,87.0,70.0,70.0,86.5,73.0,80.0,90.0,70.0,100.0,5.0,5.6,5.5,4.1,5.0,7.2,4.5,4.4,4.3,3.3,6.0,38.9,47.1,11.05,12.47,8118.322501,7836.457655,8405.595307,0.462,acceptable,-1.173,-0.671,-0.746,-1.184,1
PAN,Panama,50.4,36.8,51.7,61.8,48.0,42.2,61.8,75.0,73.0,80.0,80.0,80.0,83.0,85.0,80.0,80.0,73.0,60.0,60.0,80.0,60.0,4.2,4.6,4.5,3.5,2.7,5.7,3.2,4.1,3.3,3.7,5.6,23.6,15.2,55.7,63.72,2861.275864,2652.46331,3078.006245,0.498,exact,-0.55,0.389,0.407,-0.23,1
PRY,Paraguay,39.8,39.2,30.4,36.7,40.1,38.0,54.4,63.5,43.5,95.0,50.0,80.0,60.0,90.0,60.0,56.5,50.0,70.0,70.0,60.0,40.0,4.2,3.9,4.7,4.1,3.7,6.6,4.3,3.4,3.2,2.5,5.1,16.0,71.7,52.55,62.27,1423.427754,940.4586864,1951.707911,0.457,exact,-0.859,-0.536,-0.009,-0.459,1
PER,Peru,53.8,37.7,48.9,50.2,65.7,65.1,55.3,57.0,60.0,50.0,70.0,60.0,47.0,75.0,40.0,63.5,36.5,40.0,40.0,60.0,100.0,5.0,5.3,5.1,4.5,3.8,6.0,4.9,4.8,5.8,4.8,4.0,59.5,76.0,60.13,67.37,100106.6134,96897.8912,103277.3163,0.415,exact,-0.557,-0.062,-0.161,-0.431,1
URY,Uruguay,39.1,41.1,15.0,29.0,36.4,39.4,73.8,82.5,86.5,70.0,80.0,80.0,87.0,90.0,80.0,90.0,76.5,100.0,90.0,60.0,80.0,2.5,2.1,3.5,2.2,1.9,3.4,1.2,2.3,1.5,2.5,3.4,-3.6,21.5,43.7,40.2,-2272.215717,-2726.451527,-1813.591581,0.397,exact,1.366,0.573,1.127,0.873,1
VEN,Venezuela,21.4,13.0,0.0,29.4,18.0,31.6,36.6,74.0,73.0,90.0,80.0,80.0,60.0,85.0,80.0,70.0,60.0,60.0,95.0,40.0,90.0,4.9,5.7,5.2,4.0,3.4,8.3,4.9,5.6,7.2,3.6,6.6,,,51.11,68.01,2328.210603,-10310.20104,16876.87992,0.44,imputed_ECLAC,-1.547,-1.462,-1.452,-2.284,3
