Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017]
Argentina,ARG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.3257079,-0.354078399999999,-0.3402325,-0.3273298,-0.1344697,-0.0847054,-0.0057354,-0.178141599999999
Argentina,ARG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.1837479,0.0614731,0.1085858,0.1125651,0.148927,0.2629574,0.257748,0.2956525
Argentina,ARG,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.2513801,-0.237773799999999,-0.2913485,-0.303899,-0.290549699999999,-0.338125599999999,-0.2022099,-0.172504599999999
Argentina,ARG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.169745999999999,-0.0207671,0.0576438,0.0921998,0.0552501,0.0571577,0.1204378,0.2394066
Brazil,BRA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.4088904,-0.451506099999999,-0.4562788,-0.404589,-0.337231599999999,-0.372764,-0.407628,-0.4693688
Brazil,BRA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.224002999999999,-0.2666224,-0.2352194,-0.0686133999999999,-0.0873994999999999,0.0428329,-0.206420599999999,-0.1049895
Brazil,BRA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.446218,-0.483012599999999,-0.4398335,-0.4091435,-0.392171899999999,-0.3861785,-0.4015041,-0.2808179
Brazil,BRA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5205702,-0.521574099999999,-0.415796899999999,-0.3922756,-0.427421599999999,-0.722116299999999,-0.645190399999999,-0.602133799999999
Bolivia,BOL,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.997582699999999,-0.9556498,-0.9824356,-0.9489015,-0.8045643,-0.8232153,-0.8237458,-0.8143488
Bolivia,BOL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.6104172,-0.4093864,-0.4335715,-0.4784584,-0.4718419,-0.4578656,-0.364265,-0.313079
Bolivia,BOL,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.267722,-1.2028195,-1.1775683,-1.1101906,-1.2021414,-1.24490489999999,-1.2847988,-1.2565518
Bolivia,BOL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.5460357,-0.289823899999999,-0.170608899999999,-0.2859636,-0.3855901,-0.7539613,-0.1913596,-0.2207409
Chile,CHL,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.1057968,1.0318341,1.1452971,1.1463006,1.2156268,1.1570367,1.1121229,1.1123641
Chile,CHL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.964461,0.9969509,0.8753581,0.8697585,0.8727629,1.0469727,1.0356277,0.9620758
Chile,CHL,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.6910553,0.6647803,0.7437613,0.7564837,0.7392409,0.9142445,0.9580736,0.9674315
Chile,CHL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.1213566,0.0876667,-0.004406,0.146317,0.1362588,0.1657239,0.6742085,0.5894191
Colombia,COL,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.2937197,-0.309004899999999,-0.256400299999999,-0.269745299999999,-0.256463899999999,-0.272275,-0.3185939,-0.410863
Colombia,COL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.111099099999999,-0.0421246,0.0015825,-0.0318011,-0.082969,-0.0738128,-0.113928099999999,-0.1489232
Colombia,COL,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.5597434,-0.5648803,-0.5296476,-0.506983,-0.482495599999999,-0.452757099999999,-0.422010899999999,-0.3653829
Colombia,COL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.9708732,-0.7993485,-0.809182,-1.0147831,-0.6819314,-0.9052968,-0.665561899999999,-0.779948499999999
Costa Rica,CRI,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.6792372,0.6775627,0.5669805,0.590956,0.756375,0.7249661,0.6496945,0.5853521
